3-грамма	частота
открыл свой собственный	1
свой собственный бизнес	1
собственный бизнес оптовой	1
бизнес оптовой торговле	1
оптовой торговле скобяными	1
торговле скобяными товарами	1
скобяными товарами которым	1
товарами которым сей	1
которым сей день	1
сей день занимается	1
день занимается отец	1
занимается отец довелось	1
отец довелось увидеть	1
довелось увидеть моего	1
увидеть моего знаменитого	1
моего знаменитого предка	1
знаменитого предка многие	1
предка многие находят	1
многие находят нами	1
находят нами сходство	1
нами сходство руководствуясь	1
сходство руководствуясь главным	1
руководствуясь главным образом	1
главным образом довольно	1
образом довольно таки	1
довольно таки мрачным	1
таки мрачным портретом	1
мрачным портретом который	1
портретом который висит	1
который висит офисе	1
висит офисе моего	1
офисе моего отца	1
моего отца учился	1
отца учился йельском	1
учился йельском университете	1
йельском университете нью	1
университете нью хейвене	1
нью хейвене штат	1
хейвене штат коннектикут	1
штат коннектикут который	1
коннектикут который окончил	1
который окончил году	1
окончил году ровно	1
году ровно четверть	1
ровно четверть века	1
четверть века отца	1
века отца вскоре	1
отца вскоре призван	1
вскоре призван армию	1
призван армию принимал	1
армию принимал участие	1
принимал участие великой	1
участие великой войне	1
великой войне принято	1
войне принято америке	1
принято америке называть	1
америке называть нашествие	1
называть нашествие новоявленных	1
нашествие новоявленных тевтонских	1
новоявленных тевтонских варваров	1
тевтонских варваров обретенный	1
варваров обретенный мной	1
обретенный мной воинственный	1
мной воинственный дух	1
воинственный дух никак	1
дух никак давал	1
никак давал успокоиться	1
давал успокоиться спустя	1
успокоиться спустя некоторое	1
спустя некоторое время	1
некоторое время возвращения	1
время возвращения фронта	1
возвращения фронта средний	1
фронта средний запад	1
средний запад перестал	1
запад перестал казаться	1
перестал казаться пупом	1
казаться пупом вселенной	1
пупом вселенной скорее	1
вселенной скорее пыльными	1
скорее пыльными обветшавшими	1
пыльными обветшавшими задворками	1
обветшавшими задворками нашего	1
задворками нашего мироздания	1
нашего мироздания конце	1
мироздания конце концов	1
конце концов уехал	1
концов уехал восток	1
уехал восток занялся	1
восток занялся штудированием	1
занялся штудированием кредитного	1
штудированием кредитного бизнеса	1
кредитного бизнеса люди	1
бизнеса люди моего	1
люди моего ближайшего	1
моего ближайшего окружения	1
ближайшего окружения той	1
окружения той иной	1
той иной мере	1
иной мере занимались	1
мере занимались поэтому	1
занимались поэтому решил	1
поэтому решил кредитный	1
решил кредитный бизнес	1
кредитный бизнес состоянии	1
бизнес состоянии прокормить	1
состоянии прокормить одного	1
прокормить одного человека	1
одного человека прекрасный	1
человека прекрасный момент	1
прекрасный момент мои	1
момент мои тетушки	1
мои тетушки дядюшки	1
тетушки дядюшки собрались	1
дядюшки собрались вместе	1
собрались вместе принялись	1
вместе принялись обсуждать	1
принялись обсуждать мою	1
обсуждать мою будущность	1
мою будущность словно	1
будущность словно речь	1
словно речь шла	1
речь шла выборе	1
шла выборе приготовительного	1
выборе приготовительного класса	1
приготовительного класса неразумного	1
класса неразумного дитяти	1
неразумного дитяти долгих	1
дитяти долгих совещаний	1
долгих совещаний консультаций	1
совещаний консультаций произнесено	1
консультаций произнесено нечто	1
произнесено нечто вроде	1
нечто вроде почему	1
вроде почему серьезные	1
почему серьезные нахмуренные	1
серьезные нахмуренные осознания	1
нахмуренные осознания важности	1
осознания важности момента	1
важности момента лица	1
момента лица отец	1
лица отец обещался	1
отец обещался финансировать	1
обещался финансировать мое	1
финансировать мое начинание	1
мое начинание течение	1
начинание течение года	1
течение года неизбежных	1
года неизбежных таком	1
неизбежных таком случае	1
таком случае проволочек	1
случае проволочек отправился	1
проволочек отправился восток	1
отправился восток возрасте	1
восток возрасте лет	1
возрасте лет изменяет	1
лет изменяет память	1
изменяет память думалось	1
память думалось навсегда	1
думалось навсегда первым	1
навсегда первым делом	1
первым делом следовало	1
делом следовало найти	1
следовало найти квартиру	1
найти квартиру деловой	1
квартиру деловой части	1
деловой части города	1
части города успел	1
города успел отвыкнуть	1
успел отвыкнуть свежей	1
отвыкнуть свежей зелени	1
свежей зелени газонов	1
зелени газонов благословенной	1
газонов благословенной тени	1
благословенной тени деревьев	1
тени деревьев американской	1
деревьев американской провинции	1
американской провинции поэтому	1
провинции поэтому необыкновенно	1
поэтому необыкновенно доволен	1
необыкновенно доволен молодой	1
доволен молодой коллега	1
молодой коллега бизнесу	1
коллега бизнесу предложил	1
бизнесу предложил снять	1
предложил снять жилье	1
снять жилье двоих	1
жилье двоих пригороде	1
двоих пригороде нью	1
пригороде нью йорка	1
нью йорка подыскал	1
йорка подыскал подходящее	1
подыскал подходящее бунгало	1
подходящее бунгало продуваемую	1
бунгало продуваемую всеми	1
продуваемую всеми ветрами	1
всеми ветрами ветхую	1
ветрами ветхую хижину	1
ветхую хижину долларов	1
хижину долларов месяц	1
долларов месяц сожалению	1
месяц сожалению самую	1
сожалению самую последнюю	1
самую последнюю минуту	1
последнюю минуту руководство	1
минуту руководство фирмы	1
руководство фирмы отправило	1
фирмы отправило вашингтон	1
отправило вашингтон пришлось	1
вашингтон пришлось обустраиваться	1
пришлось обустраиваться самому	1
обустраиваться самому обзавелся	1
самому обзавелся собакой	1
обзавелся собакой однако	1
собакой однако находился	1
однако находился роли	1
находился роли счастливого	1
роли счастливого владельца	1
счастливого владельца каких	1
владельца каких несколько	1
каких несколько дней	1
несколько дней тех	1
дней тех пор	1
тех пор пока	2
пор пока сорвалась	1
пока сорвалась привязи	1
сорвалась привязи убежала	1
привязи убежала приобрел	1
убежала приобрел старенький	1
приобрел старенький додж	1
старенький додж нанял	1
додж нанял финку	1
нанял финку которая	1
финку которая прибирала	1
которая прибирала мою	1
прибирала мою постель	1
мою постель готовила	1
постель готовила завтрак	1
готовила завтрак электроплите	1
завтрак электроплите непрестанно	1
электроплите непрестанно бормоча	1
непрестанно бормоча фински	1
бормоча фински чувствовал	1
фински чувствовал бесконечно	1
чувствовал бесконечно одиноким	1
бесконечно одиноким брошенным	1
одиноким брошенным тех	1
брошенным тех пор	1
пор пока несколько	1
пока несколько дней	1
несколько дней человек	2
дней человек видимо	1
человек видимо недавний	1
видимо недавний приезжий	1
недавний приезжий остановил	1
приезжий остановил улице	1
остановил улице подскажете	1
улице подскажете попасть	1
подскажете попасть вест	1
попасть вест эгг	1
вест эгг растерянно	1
эгг растерянно спросил	1
растерянно спросил подробно	1
спросил подробно рассказал	1
подробно рассказал пошел	1
рассказал пошел своей	1
пошел своей дорогой	1
своей дорогой почувствовав	1
дорогой почувствовав растерянность	1
почувствовав растерянность одиночество	1
растерянность одиночество чудесным	1
одиночество чудесным образом	1
чудесным образом исчезли	1
образом исчезли человек	1
исчезли человек обратился	1
человек обратился ко	1
обратился ко местному	1
ко местному жителю	1
местному жителю отныне	1
жителю отныне ощущал	1
отныне ощущал нью	1
ощущал нью йоркским	1
нью йоркским старожилом	1
йоркским старожилом первопоселенцем	1
старожилом первопоселенцем который	1
первопоселенцем который состоянии	1
который состоянии подсказать	1
состоянии подсказать новичку	1
подсказать новичку дорогу	1
новичку дорогу эта	1
дорогу эта случайная	1
эта случайная встреча	1
случайная встреча вселила	1
встреча вселила уверенность	1
вселила уверенность избавила	1
уверенность избавила излишней	1
избавила излишней скованности	1
излишней скованности чужака	1
скованности чужака солнце	1
чужака солнце пригревало	1
солнце пригревало каждым	1
пригревало каждым днем	1
каждым днем сильнее	1
днем сильнее сильнее	1
сильнее сильнее почки	1
сильнее почки деревьях	1
почки деревьях распускались	1
деревьях распускались прямо	1
распускались прямо глазах	1
прямо глазах ускоренной	1
глазах ускоренной киносъемке	1
ускоренной киносъемке приходом	1
киносъемке приходом лета	1
приходом лета начало	1
лета начало крепнуть	1
начало крепнуть знакомое	1
крепнуть знакомое прежде	1
знакомое прежде чувство	1
прежде чувство жизнь	1
чувство жизнь продолжается	1
жизнь продолжается начинается	1
продолжается начинается новый	1
начинается новый виток	1
новый виток нужно	1
виток нужно успеть	1
нужно успеть прочитать	1
успеть прочитать хотелось	1
прочитать хотелось вдоволь	1
хотелось вдоволь напиться	1
вдоволь напиться густого	1
напиться густого мед	1
густого мед животворного	1
мед животворного свежего	1
животворного свежего воздуха	1
свежего воздуха приобрел	1
воздуха приобрел дюжину	1
приобрел дюжину учебников	1
дюжину учебников банковскому	1
учебников банковскому бизнесу	1
банковскому бизнесу кредитованию	1
бизнесу кредитованию долгосрочным	1
кредитованию долгосрочным инвестициям	1
долгосрочным инвестициям стояли	1
инвестициям стояли книжной	1
стояли книжной полке	1
книжной полке багрово	1
полке багрово золотых	1
багрово золотых переплетах	1
золотых переплетах сверкая	1
переплетах сверкая словно	1
сверкая словно отчеканенные	1
словно отчеканенные золотые	1
отчеканенные золотые монеты	1
золотые монеты обещая	1
монеты обещая открыть	1
обещая открыть манящие	1
открыть манящие полновесные	1
манящие полновесные тайны	1
полновесные тайны известные	1
тайны известные мидасу	1
известные мидасу моргану	1
мидасу моргану меценату	1
моргану меценату намеревался	1
меценату намеревался ограничивать	1
намеревался ограничивать круг	1
ограничивать круг чтения	1
круг чтения пусть	1
чтения пусть блестящими	1
пусть блестящими трудами	1
блестящими трудами экономике	1
трудами экономике финансам	1
экономике финансам колледже	1
финансам колледже проявился	1
колледже проявился некий	1
проявился некий публицистический	1
некий публицистический дар	1
публицистический дар около	1
дар около года	1
около года вел	1
года вел редакционную	1
вел редакционную колонку	1
редакционную колонку йельских	1
колонку йельских новостях	1
йельских новостях написал	1
новостях написал ряд	1
написал ряд пространных	1
ряд пространных основательных	1
пространных основательных статей	1
основательных статей намеревался	1
статей намеревался взять	1
намеревался взять руки	1
взять руки перо	1
руки перо снова	1
перо снова стать	1
снова стать узким	1
стать узким специалистом	1
узким специалистом самого	1
специалистом самого широкого	1
самого широкого профиля	1
широкого профиля это	1
профиля это игра	1
это игра слов	1
игра слов тех	1
слов тех жизненных	1
тех жизненных парадоксов	1
жизненных парадоксов возможность	1
парадоксов возможность охватить	1
возможность охватить взором	1
охватить взором некоторые	1
взором некоторые скрытые	1
некоторые скрытые проявления	1
скрытые проявления нашего	1
проявления нашего бытия	1
нашего бытия представляется	1
бытия представляется стороннему	1
представляется стороннему наблюдателю	1
стороннему наблюдателю сказать	1
наблюдателю сказать кулис	1
сказать кулис судьбе	1
кулис судьбе угодно	1
судьбе угодно распорядиться	1
угодно распорядиться таким	1
распорядиться таким образом	1
таким образом снял	1
образом снял жилье	1
снял жилье одном	1
жилье одном уникальнейших	1
одном уникальнейших уголков	1
уникальнейших уголков северной	1
уголков северной америки	1
северной америки удлиненном	1
америки удлиненном острове	1
удлиненном острове своеобразной	1
острове своеобразной формы	1
своеобразной формы расположенном	1
формы расположенном несколько	1
расположенном несколько восточнее	1
несколько восточнее нью	1
восточнее нью йорка	1
нью йорка среди	1
йорка среди прочих	1
среди прочих капризов	1
прочих капризов природы	1
капризов природы выделяются	1
природы выделяются необычных	1
выделяются необычных почвенно	1
необычных почвенно наносных	1
почвенно наносных образования	1
наносных образования двадцати	1
образования двадцати милях	1
двадцати милях города	1
